characterId,accountId,name,region,nr,level,exp,characterClass,race,ownGold,ownMushrooms,glory,strength,agility,intelligence,constitution,luck,hp
2adc994e-6f0b-418a-a5a6-be2c2ab9e2b3,e67444a2-1b62-4e58-bf15-333347cd54c8,GhostLord8431,eu,2,197,51203,druid,demon,3310,685,3188,3197,1284,200,2193,1737,340726
8b73d79b-2062-4f6b-9ebb-cddc498fa575,bb3cf144-7ff3-400d-8103-b39566e47b9c,IceLord4922,hu,2,111,57971,scout,elf,1000,931,3261,2468,1546,1656,2173,594,1076649
6080dc0b-bf6b-4115-abf1-fba296ca8977,ba200bd2-199d-45e9-987c-a11a92e745cb,ShadowMaster1690,cz,2,204,96670,demonHunter,dwarf,8444,1965,437,4800,865,5260,3935,4558,1189636
5857a5f2-751a-4820-8455-dbc09dd1ac9c,5f4a9fed-c3a7-41c5-8135-5dea5b4f9997,FlameQueen382,fr,1,236,126800,scout,orc,11565,761,18310,25,4851,5580,4752,5820,1954952
db8f6b7c-1bc6-4f54-b529-75b5a84a1eaf,1bae73f9-e988-4d16-a869-afaf6b29f0f2,FlameQueen485,hu,1,462,260935,assasin,gnome,30725,858,43143,13174,287,8457,10443,11115,1279155
5ea3d1ee-637c-4d5a-8b62-fd2dbafe0a97,1bae73f9-e988-4d16-a869-afaf6b29f0f2,FlameReaper,cz,1,233,164751,battleMage,demon,4506,948,8505,2953,492,5329,6065,2839,1624932
db719540-fe88-4e7e-b540-529ae3704729,1a639a4e-0edc-4410-aa18-24d79a8efb53,FlameReaper613,am,1,252,128743,druid,human,8817,1325,20085,5014,4510,1816,2936,5637,1406783
5b94a680-d864-4c5f-a484-51184380298e,f36cfae2-770f-445c-94e7-eb2636fe2cad,FlameReaper76,cz,2,244,122761,battleMage,goblin,20932,804,15219,6601,1133,6616,5923,2193,1504810
b9f11b41-8b58-4710-9a7f-33c4208843b0,f36cfae2-770f-445c-94e7-eb2636fe2cad,FlameReaper914,am,2,29,28637,bard,elf,2148,201,932,581,200,37,254,263,270374
7ebf3444-f599-4287-8cc1-4d9632fff18b,f36cfae2-770f-445c-94e7-eb2636fe2cad,FlameRider,am,2,409,332224,mage,human,15442,1535,15508,4712,6710,8414,2432,1350,1104163
14e07c82-34ad-4af4-a25a-7c3fbd0b0005,f36cfae2-770f-445c-94e7-eb2636fe2cad,FlameRider756,eu,1,124,99252,bard,orc,974,1000,8979,1670,222,254,1059,1572,614624
18e739bc-bc0c-426a-9d18-ee21347a2246,f36cfae2-770f-445c-94e7-eb2636fe2cad,FlameRider853,de,2,463,395816,berserker,human,7434,479,347,2005,6255,11477,4771,6241,2356396
93539113-9c30-4823-bae6-9a7287554289,64e4728b-c889-432c-9504-f4c96f3d3a44,FlameRider856,int,1,155,95741,scout,darkElf,7384,103,1611,1494,4122,712,3336,4287,1475484
3de77652-2fbb-413f-b4dd-4e376a0bf984,a03f747f-5605-4d5f-94cf-370f26781c16,StormQueen2051,de,2,255,246485,scout,goblin,18000,1355,7011,6638,782,965,4286,2334,943852
4a8e8eb7-be18-4016-ac38-920711b996e4,592537c4-ca03-4985-961d-d8d5637430d8,FlameSeeker,int,2,193,158174,scout,goblin,5870,908,11865,5318,3532,1473,3579,2756,553501
76e00aa2-3107-4d98-ae56-799abddd6541,1c1934cf-d8aa-4be4-b4be-895a82606f55,FlameSeeker644,fr,1,336,115108,scout,goblin,5956,3274,6040,1468,2584,4057,9085,1022,1009030
