itemId,effectType,potency,duration
91fca29a-69f2-469c-8ff5-74ce3801863a,agility,23,6900
e9a1acca-629c-4dfd-9d6d-28f3ac1e7eb6,intelligence,25,7500
f9453ffe-2407-442a-ad3a-7fbc7229b70d,agility,22,6540
d8cc46b9-56e9-42b9-9d82-5d7b4217950f,agility,22,6360
ddd811ba-7d3e-46ba-9b14-b24ee52efd4e,agility,50,14880
28cac081-6b49-4cdc-96d7-ad39d6020d50,agility,23,6660
6d19f7d4-eeef-4073-90b2-c13247537dd6,luck,7,1860
f56ae789-40fa-448f-a9f1-01fd496459b3,strength,58,17280
0159e3c1-271e-4196-a425-ad35066f9108,intelligence,41,12180
87136a80-48dc-4395-9553-d606dfa025c7,constitution,48,14400
f5a75de6-73ea-45cf-b7ca-3c0febf215cf,intelligence,49,14700
0b920274-b972-4cc1-af32-096dafdd7730,agility,10,2940
d7b8b4e0-b55e-4d54-802c-214cf99bd4c2,constitution,31,9120
a98056a4-a6c3-4de3-b77b-eb396daeb788,intelligence,15,4440
2cce8b23-c916-4e85-95cd-e531a7d588d3,constitution,1,120
d8c69674-42c6-4321-bf27-9687c0cebf8c,constitution,34,10080
c09f4945-a62a-4cf3-b079-bcb022dd88dd,agility,8,2280
a965ab84-1f20-4946-b2d9-7cd4ee178902,luck,47,14100
d16fa1ac-439a-46e8-8f7f-248ccea87627,strength,5,1500
7b93fe37-b7e5-40c0-92f1-58508ad5fd0c,agility,49,14700
02f8da86-1a40-4283-830e-d8adc05a2d83,intelligence,30,8940
1a470f31-7dbc-411f-a050-9f0fcf429e0b,constitution,41,12060
1ea10f97-1b77-4c55-860f-ec5b264241ed,constitution,8,2160
cc320736-001b-4d42-b5c9-9779f104f531,intelligence,17,4860
da0d2e58-8a60-4912-8c2e-f7bc485c4184,strength,8,2220
fda15702-8f93-4196-99a8-63c04cc01227,intelligence,46,13560
7366e751-f5cc-4f63-bb0f-058de431aa26,strength,13,3900
6e915e52-2050-42c8-a921-ed484b9733b7,strength,44,13200
eefd5f89-c446-491d-9b32-3936e899f0cb,intelligence,44,12960
1f547725-5b54-4820-9014-073af64adeab,constitution,13,3660
0443954e-2483-4851-8bb6-06e7d5e56498,constitution,18,5280
c8cfef3f-db13-4d9b-8168-fea9f8e115d3,constitution,33,9660
66c3b531-f79c-497c-86af-9c2003f019a4,constitution,21,6180
c3e80f23-aa02-4d49-975f-36d24148b610,agility,59,17580
fb49883f-6990-4c73-8640-09935809f934,luck,22,6360
f79eb589-b643-4032-a2cb-fbb5c7580795,intelligence,13,3780
bd381a26-47de-4fea-a096-3ab5e576d356,intelligence,55,16320
eeb31ce2-7b45-42c5-a010-7c3b2841b691,luck,18,5280
9aa09fee-c165-4259-8153-7bdd2b95fd82,constitution,14,4020
9ca619b7-01d4-4f8a-ae54-f28a5a4fc409,agility,60,18000
dcd4cc02-a21f-484c-aa3a-70411e35002b,luck,9,2580
1a82ecc1-19b6-4d7f-af90-f34236734668,intelligence,15,4320
c9208d90-11a5-4359-903a-110a9932c3c4,strength,27,8040
0d80ffdf-e7a0-4c1a-bd2d-ae35ed6474a6,strength,55,16260
04caf706-0f38-49c7-8e33-ca74a0cf8497,luck,55,16260
d846ce64-93b0-478c-8f76-88696e75fa82,luck,48,14280
b58933d9-6482-4705-ade9-5e4161b359fb,luck,8,2340
1fb363cb-fc9a-4228-bfa6-2004cc000f9c,intelligence,18,5400
3cec12a2-f74e-4dd5-963a-721919edd205,strength,51,15300
f4cae2ed-2ab8-4345-9839-a026bc4ea567,luck,5,1320
ca756d00-d101-441e-af09-b1cd3090786a,luck,36,10800
