Goblin Grunt
Skeleton Warrior
Cursed Archer
Rotting Zombie
Cave Bat Swarm
Bandit Thug
Feral Wolf
Giant Spider
Swamp Slime
Harpy Scout
Shadow Imp
Necrotic Cultist
Bloodthorn Vine
Wailing Banshee
Dreadhound
Bone Reaver
Plague Rat
Blackscale Brute
Wraithling
Blighted Treant
Arcane Aberration
Frostbite Shade
Molten Golem
Soulflayer
Vile Spriggan
Ghoul Ravager
Stormcaller Cultist
Abyssal Crawler
Duskfang Stalker
Ironjaw Ogre
Necrofiend
Ember Wisp
Chittering Horror
Gloomfang Alpha
Cursed Crusader
Rustbone Construct
Frostforged Revenant
Venomtongue Basilisk
Hollow Eidolon
Netherghast
Obsidian Wardrake
Bogrot Mireling
Sableclaw Marauder
Thornweaver Hag
Ashen Phantasm
Gorehorn Minotaur
Verminlord
Spectral Berserker
Witherbloom Dryad
Voidspawn Lurker
Ironhide Troll
Duskveil Assassin
Blightshroud Reaper
Stormborn Cyclops
Fellfire Warlock
Grimjaw Crocolisk
Rimefang Chimaera
Nightshade Stalker
Emberfiend
Brambleback Ursus
Soulthief Wraith
Cinderscale Drake
Dreadmire Naga
Frostweaver Specter
Gutripper Gnoll
Vileblood Vampyr
Obsidian Colossus
Blightfang Serpent
Stormhowler Yeti
Duskthorn Satyr
Necroshade Lich
Ashenhorn Demon
Gorefeast Ghoul
Vermin Swarm
Sablethorn Fiend
Thornclaw Ravager
Withergale Harpy
Voidrift Phantom
Ironbark Ent
Duskscale Wyrm
Blightmaw Carrion
Stormwrath Elemental
Fellshade Revenant
Grimveil Banshee
Rimeheart Specter
Nightfang Predator
Emberclaw Hellion
Bramblethorn Behemoth
Soulflame Harbinger
Cinderfang Wyvern
Dreadtide Siren
Frostbane Wight
Gutspiller Orc
Vilethorn Dryad
Obsidian Maw
Blightstorm Warlock
Stormfang Leviathan
Duskveil Phantom
Necrofire Golem
Ashenclaw Griffin
Gorespine Hydra
Verminborn Plaguebearer
Sableghost Necromancer
Thornfang Alpha
Withershade Lurkling
Voidscar Demon
Ironhide Behemoth
Duskshard Elemental
Blightfang Broodmother
Stormcaller Titan
Fellmire Basilisk
Grimtotem Shaman
Rimefang Frostcaller
Nightveil Stalker
Emberbane Phoenix
Brambleback Goliath
Soulreaper Lich
Cindervoid Archfiend
Dreadhorn Minotaur
Frostshroud Wraith
Gutrend Ogre
Vilescale Naga
Obsidian Monolith
Blightthorn Treant
Stormborn Serpent
Duskfang Revenant
Necroshroud Specter
Ashenveil Warlock
Gorefang Ravager
Verminlord Prime
Sablethorn Patriarch
Thornweaver Crone
Withergale Matriarch
Voidspawn Abomination
Ironbark Ancient
Duskscale Overlord
Blightmaw Devourer
Stormwrath Tempest
Fellshade Archon
Grimveil Deathcaller
Rimeheart Colossus
Nightfang Alpha
Emberclaw Destroyer
Bramblethorn Titan
Soulflame Archdemon
Cinderfang Monarch
Dreadtide Kraken
Frostbane Lichking
Gutspiller Warlord
Vilethorn Elder
Obsidian Doombringer
Mireflayer Scourge  
Thunderspine Ravager  
Gloomshard Phantom  
Blightfang Scuttler  
Ironveil Warden  
Duskrot Carrion  
Viperthorn Stalker  
Embervein Berserker  
Nightscythe Reaper  
Frostgale Howler  
Wraithroot Ent  
Ashenclaw Marauder  
Bogshriek Harpy  
Soulcage Fiend  
Gutspike Gnoll  
Stormtalon Raptor  
Vilemaw Leper  
Obsidian Fang  
Brambleghost Specter  
Cinderfall Brute  
Dreadtusk Boar  
Frostweald Wisp  
Gorehollow Wight  
Muckveil Ooze  
Necroshard Golem  
Plaguetalon Vulture  
Rustfang Mangler  
Shadowthorn Dryad  
Thunderhoof Centaur  
Verminbone Skeleton  
Witherfang Lycan  
Abyssgrasp Tentacle  
Blightshade Wraith  
Crowfang Bandit  
Duskmire Hag  
Emberclaw Chimera  
Grimshroud Necrolyte  
Hollowvein Ghast  
Ironroot Defiler  
Mirelord Crocolisk
Voidrift Stalker
Stormjaw Colossus
Blightthorn Infestor
Embervein Defiler
Dreadmaw Leviathan
Frostshard Revenant
Gloomfang Serpent
Ironscale Behemoth
Necroclaw Harvester
